Open,Amount,Close,Volume,High,Low,ts
645.0,7087000.0,645.0,11,645.0,644.0,2022-02-11 09:26:00
644.0,60516000.0,644.0,94,645.0,643.0,2022-02-11 09:27:00
644.0,77838000.0,644.0,121,644.0,643.0,2022-02-11 09:28:00
643.0,17371000.0,643.0,27,644.0,643.0,2022-02-11 09:29:00
643.0,16094000.0,644.0,25,644.0,643.0,2022-02-11 09:30:00
644.0,29614000.0,643.0,46,644.0,643.0,2022-02-11 09:31:00
644.0,16092000.0,644.0,25,644.0,643.0,2022-02-11 09:32:00
643.0,12869000.0,643.0,20,644.0,643.0,2022-02-11 09:33:00
644.0,19306000.0,644.0,30,644.0,643.0,2022-02-11 09:34:00
644.0,25098000.0,644.0,39,644.0,643.0,2022-02-11 09:35:00
644.0,28956000.0,643.0,45,644.0,643.0,2022-02-11 09:36:00
644.0,17376000.0,644.0,27,644.0,643.0,2022-02-11 09:37:00
644.0,15444000.0,644.0,24,644.0,643.0,2022-02-11 09:38:00
644.0,42481000.0,644.0,66,644.0,643.0,2022-02-11 09:39:00
643.0,20603000.0,644.0,32,644.0,643.0,2022-02-11 09:40:00
643.0,33481000.0,644.0,52,644.0,643.0,2022-02-11 09:41:00
644.0,30905000.0,644.0,48,644.0,643.0,2022-02-11 09:42:00
644.0,90159000.0,645.0,140,645.0,643.0,2022-02-11 09:43:00
645.0,54797000.0,644.0,85,645.0,644.0,2022-02-11 09:44:00
645.0,26429000.0,645.0,41,645.0,644.0,2022-02-11 09:45:00
644.0,327552000.0,644.0,509,645.0,643.0,2022-02-11 09:46:00
643.0,50172000.0,643.0,78,644.0,643.0,2022-02-11 09:47:00
644.0,50156000.0,643.0,78,644.0,642.0,2022-02-11 09:48:00
643.0,34688000.0,642.0,54,643.0,642.0,2022-02-11 09:49:00
643.0,14129000.0,643.0,22,643.0,642.0,2022-02-11 09:50:00
642.0,19919000.0,642.0,31,643.0,642.0,2022-02-11 09:51:00
642.0,15421000.0,643.0,24,643.0,642.0,2022-02-11 09:52:00
642.0,117507000.0,643.0,183,643.0,642.0,2022-02-11 09:53:00
643.0,9638000.0,643.0,15,643.0,642.0,2022-02-11 09:54:00
643.0,10282000.0,643.0,16,643.0,642.0,2022-02-11 09:55:00
642.0,12852000.0,643.0,20,643.0,642.0,2022-02-11 09:56:00
643.0,136321000.0,644.0,212,644.0,642.0,2022-02-11 09:57:00
644.0,77286000.0,645.0,120,645.0,643.0,2022-02-11 09:58:00
644.0,16758000.0,645.0,26,645.0,644.0,2022-02-11 09:59:00
645.0,23217000.0,645.0,36,645.0,644.0,2022-02-11 10:00:00
645.0,22570000.0,645.0,35,645.0,644.0,2022-02-11 10:01:00
645.0,21281000.0,645.0,33,645.0,644.0,2022-02-11 10:02:00
645.0,18703000.0,645.0,29,645.0,644.0,2022-02-11 10:03:00
644.0,17410000.0,645.0,27,645.0,644.0,2022-02-11 10:04:00
645.0,16764000.0,645.0,26,645.0,644.0,2022-02-11 10:05:00
645.0,23860000.0,645.0,37,645.0,644.0,2022-02-11 10:06:00
645.0,49662000.0,645.0,77,645.0,644.0,2022-02-11 10:07:00
645.0,13545000.0,645.0,21,645.0,645.0,2022-02-11 10:08:00
644.0,16119000.0,644.0,25,645.0,644.0,2022-02-11 10:09:00
644.0,18051000.0,644.0,28,645.0,644.0,2022-02-11 10:10:00
645.0,311704000.0,644.0,484,645.0,644.0,2022-02-11 10:11:00
644.0,47010000.0,644.0,73,644.0,643.0,2022-02-11 10:12:00
644.0,24472000.0,644.0,38,644.0,644.0,2022-02-11 10:13:00
644.0,12235000.0,644.0,19,644.0,643.0,2022-02-11 10:14:00
644.0,14166000.0,644.0,22,644.0,643.0,2022-02-11 10:15:00
644.0,94032000.0,645.0,146,645.0,643.0,2022-02-11 10:16:00
644.0,5804000.0,645.0,9,645.0,644.0,2022-02-11 10:17:00
645.0,10961000.0,645.0,17,645.0,644.0,2022-02-11 10:18:00
644.0,8381000.0,645.0,13,645.0,644.0,2022-02-11 10:19:00
644.0,18703000.0,645.0,29,645.0,644.0,2022-02-11 10:20:00
644.0,18703000.0,645.0,29,645.0,644.0,2022-02-11 10:21:00
645.0,23863000.0,645.0,37,645.0,644.0,2022-02-11 10:22:00
645.0,12897000.0,645.0,20,645.0,644.0,2022-02-11 10:23:00
645.0,10318000.0,645.0,16,645.0,644.0,2022-02-11 10:24:00
645.0,9022000.0,644.0,14,645.0,644.0,2022-02-11 10:25:00
645.0,9673000.0,644.0,15,645.0,644.0,2022-02-11 10:26:00
644.0,9671000.0,644.0,15,645.0,644.0,2022-02-11 10:27:00
645.0,33498000.0,644.0,52,645.0,644.0,2022-02-11 10:28:00
